event_type,start,workcenter_resource_id,human_resource_id
Production,2023-12-27T15:13:20.247824817,1,1
Production,2023-12-27T15:13:20.247830398,1,2
Production,2023-12-27T15:13:20.247831931,1,1
Production,2023-12-27T15:13:20.247835227,1,2
Blocked,2023-12-27T15:13:20.247836880,1,0
Blocked,2023-12-27T15:13:20.247838042,1,0
Production,2023-12-27T15:13:20.247840216,1,1
Production,2023-12-27T15:13:20.247841930,1,2
Production,2023-12-27T15:13:20.247843182,1,2
Production,2023-12-27T15:13:20.247845266,1,1
Production,2023-12-27T15:13:20.247849704,1,2
Production,2023-12-27T15:13:20.247851077,1,1
Production,2023-12-27T15:13:20.247871145,1,2
Production,2023-12-27T15:13:20.247873229,1,1
Blocked,2023-12-27T15:13:20.247874721,1,0
Blocked,2023-12-27T15:13:20.247875874,1,0
Blocked,2023-12-27T15:13:20.247877276,1,0
Blocked,2023-12-27T15:13:20.247878338,1,0
Setup,2023-12-27T15:13:20.247880091,1,2
Setup,2023-12-27T15:13:20.247881414,1,1
Setup,2023-12-27T15:13:20.247882766,1,1
Setup,2023-12-27T15:13:20.247884951,1,2
Setup,2023-12-27T15:13:20.247886494,1,2
Setup,2023-12-27T15:13:20.247887716,1,2
Blocked,2023-12-27T15:13:20.247889098,1,0
Blocked,2023-12-27T15:13:20.247890150,1,0
Blocked,2023-12-27T15:13:20.247891433,1,0
Blocked,2023-12-27T15:13:20.247892455,1,0
Blocked,2023-12-27T15:13:20.247893827,1,0
Blocked,2023-12-27T15:13:20.247894799,1,0
Setup,2023-12-27T15:13:20.247896262,1,1
Setup,2023-12-27T15:13:20.247897755,1,1
Production,2023-12-27T15:13:20.247899298,1,2
Production,2023-12-27T15:13:20.247900580,1,2
Blocked,2023-12-27T15:13:20.247920998,1,0
Blocked,2023-12-27T15:13:20.247922070,1,0
Blocked,2023-12-27T15:13:20.247923433,1,0
Blocked,2023-12-27T15:13:20.247924405,1,0
Production,2023-12-27T15:13:20.247926038,1,2
Production,2023-12-27T15:13:20.247927320,1,2
Production,2023-12-27T15:13:20.247928833,1,2
Production,2023-12-27T15:13:20.247930216,1,2
Setup,2023-12-27T15:13:20.247931789,1,2
Setup,2023-12-27T15:13:20.247933402,1,1
Setup,2023-12-27T15:13:20.247934744,1,2
Setup,2023-12-27T15:13:20.247936618,1,1
Blocked,2023-12-27T15:13:20.247938020,1,0
Blocked,2023-12-27T15:13:20.247939062,1,0
Setup,2023-12-27T15:13:20.247940695,1,1
Setup,2023-12-27T15:13:20.247941938,1,1
Production,2023-12-27T15:13:20.247962176,1,2
Production,2023-12-27T15:13:20.247963589,1,1
Production,2023-12-27T15:13:20.247964941,1,1
Production,2023-12-27T15:13:20.247966855,1,1
Production,2023-12-27T15:13:20.247968337,1,1
Production,2023-12-27T15:13:20.247970181,1,2
Setup,2023-12-27T15:13:20.247971674,1,1
Setup,2023-12-27T15:13:20.247973167,1,1
Production,2023-12-27T15:13:20.247974689,1,2
Production,2023-12-27T15:13:20.247975962,1,2
Production,2023-12-27T15:13:20.247977495,1,1
